store_key	storename	address	telno	region_name	province_name	city_muni_name	latitude	longitude	Wheelchair-YES	Audio-YES
851	Lopez	Maharlika highway cor San Isidro St Lopez Quezon		REGION IV-A (CALABARZON)	QUEZON	LOPEZ	14.0743	121.324		
876	Magalang	Sta Cruz Magalang Pampanga	933	REGION III (Central Luzon)	PAMPANGA	MAGALANG	15.2136	120.659		
894	Macabling	Brgy Macabling Sta Rosa Laguna		REGION IV-A (CALABARZON)	LAGUNA	CITY OF SANTA ROSA	14.2991	121.099		
846	Tanza 3	Filinvest West Brgy Paradahan Tanza Cavite		REGION IV-A (CALABARZON)	CAVITE	TANZA	14.3251	120.86		
857	Dita (Margarita)	Brgy Dita Sta Rosa City Laguna		REGION IV-A (CALABARZON)	LAGUNA	CITY OF SANTA ROSA	14.281	121.123		
882	Atimonan	Rizal St cor Quezon St Atimonan Quezon		REGION IV-A (CALABARZON)	QUEZON	ATIMONAN	14.0742	121.324		
761	Naga 2	2 Ateneo Ave cor Bagumbayan St Naga City		REGION V (Bicol Region)	CAMARINES SUR	NAGA CITY	13.6292	123.188		
821	City Place Binondo	City Place BInondo Sta Elene St Binondo Manila		NCR - National Capital Region	"NCR, CITY OF MANILA, FIRST DISTRICT"	BINONDO	14.6048	120.972		
887	San Antonio	San Antonio San Narciso Road Poblacion Zambales	923	REGION III (Central Luzon)	ZAMBALES	SAN NARCISO	14.974	120.156		
792	Sta Monica	Sta Monica LM Guerrero St Ermita Manila		NCR - National Capital Region	"NCR, CITY OF MANILA, FIRST DISTRICT"	ERMITA	14.5753	120.981		
859	Landayan	Brgy Landayan San Pedro Laguna		REGION IV-A (CALABARZON)	LAGUNA	SAN PEDRO	14.354	121.066		
853	Tayug	Poblacion TAyug Pangasinan		REGION I (Ilocos Region)	PANGASINAN	TAYUG	16.0233	120.748		
763	Manhattan	Gf Manhattan Parkway Araneta Center Quezon City	932	NCR - National Capital Region	"NCR, SECOND DISTRICT"	QUEZON CITY	14.6242	121.055		
860	Asuncion	Asuncion St cor Zaragosa St Divisoria Tondo Manila		NCR - National Capital Region	"NCR, CITY OF MANILA, FIRST DISTRICT"	TONDO I / II	14.6097	120.967		
896	Katipunan	Esteban Abada St cor Rosa Alvero St Loyola Heigths	4267186	NCR - National Capital Region	"NCR, SECOND DISTRICT"	CITY OF PASIG	14.6334	121.073		
898	San Carlos 2	33 Rizal St San Carlos City Pangasinan	932	REGION I (Ilocos Region)	PANGASINAN	SAN CARLOS CITY	15.9295	120.351		
865	Perez	Inong Bldg Hugo Perez Drive Trece Martirez Cavite		REGION IV-A (CALABARZON)	CAVITE	TRECE MARTIRES CITY (Capital)	14.2791	120.892		
895	Cuenca	Poblacion 1 National Highway Cuenca Batangas		REGION IV-A (CALABARZON)	BATANGAS	CUENCA	13.8982	121.051		
845	Plaridel Waltermart	Banga 1 Plaridel Bulacan	998	REGION III (Central Luzon)	BULACAN	PLARIDEL	14.8808	120.867		
877	Tune Hotel	1740 A Mabini St Malate Manila		NCR - National Capital Region	"NCR, CITY OF MANILA, FIRST DISTRICT"	MALATE	14.5707	120.985		
885	San Fabian	Quezon Highway San Fabian Pangasinan	925	REGION I (Ilocos Region)	PANGASINAN	SAN FABIAN	16.1461	120.423		
892	Raffles	Emerald Avenue Ortigas Centre Ortigas Pasig City	3798643	NCR - National Capital Region	"NCR, SECOND DISTRICT"	CITY OF PASIG	14.5853	121.062		
893	Famy	Brgy Calumpang Famy Laguna		REGION IV-A (CALABARZON)	LAGUNA	FAMY	14.4729	121.484		
908	Dinalupihan	3 San Ramon Highway Dinalupihan Bataan	4811820	REGION III (Central Luzon)	BATAAN	DINALUPIHAN	14.8782	120.454		
903	OYG	B MEndoza St San Fernando Pampanga	932	REGION III (Central Luzon)	PAMPANGA	CITY OF SAN FERNANDO (Capital)	15.0317	120.689		
864	Legislative Bldg	Rizal St cor Hilario St Tarlac City	920	REGION III (Central Luzon)	TARLAC	CITY OF TARLAC (Capital)	15.4867	120.589		
868	Armstrong Avenue	Armstrong Ave cor E Rodriguez Moonwalk Paranaque		NCR - National Capital Region	"NCR, FOURTH DISTRICT"	CITY OF PARAãAQUE	14.4974	121.013		
869	Finman	117 Tordesillas St Salcedo Village Makati City		NCR - National Capital Region	"NCR, FOURTH DISTRICT"	CITY OF MAKATI	14.5609	121.024		
884	Galicia	Galicia st cor EspaÐa Sampaloc Manila		NCR - National Capital Region	"NCR, CITY OF MANILA, FIRST DISTRICT"	SAMPALOC	14.6072	120.99		
886	Libmanan	Poblacion St cor Bigaon St Libamanan Camarines Sur		REGION V (Bicol Region)	CAMARINES SUR	LIBMANAN	13.6937	123.06		
888	La Union 2 (DMMMSU)	McArthur Hiway Sevilla San Fernando City La Union	923	REGION I (Ilocos Region)	LA UNION	CITY OF SAN FERNANDO (Capital)	16.6065	120.317		
890	Lima Tech (Malvar)	Santiago JP Laurel Highway Malvar Batangas		REGION IV-A (CALABARZON)	BATANGAS	MALVAR	14.0085	121.166		
897	Lucena 4	ML Tagarao St Brgy Iyam Lucena City		REGION IV-A (CALABARZON)	QUEZON	LUCENA CITY (Capital)	13.9358	121.602		
912	Calamba Science Park	Science Park II National Road Real Calamba Laguna		REGION IV-A (CALABARZON)	LAGUNA	CITY OF CALAMBA	14.1955	121.144		
875	Menzy Land	Subd Brgy Mojon Malolos Bulacan	8960237	REGION III (Central Luzon)	BULACAN	CITY OF MALOLOS (Capital)	14.861	120.817		
902	Sitio Gitna	Gen Luis St P Dela Cruz St Brgy Kaybiga Caloocan	998	NCR - National Capital Region	"NCR, THIRD DISTRICT"	CALOOCAN CITY	14.72	121.015		
878	Shell Diversion	Roxas Ave Triangulo Naga City Camarines Sur		REGION V (Bicol Region)	CAMARINES SUR	NAGA CITY	13.6153	123.192		
809	Paliparan 2	Brgy Paliparan 3 Dasmarinas City		REGION IV-A (CALABARZON)	CAVITE	DASMARIãAS	14.321	120.985		
1015	Alpha land Makati Mall	7232 Ayala Ave Exit Malugay St Makati City		NCR - National Capital Region	"NCR, FOURTH DISTRICT"	CITY OF MAKATI	14.5624	121.016		
931	Gagfa IT	"G/F Gagfa Tower, F. Cabahug St. Cebu City"		REGION VII (Central Visayas)	CEBU	CEBU CITY	10.3309	123.918		
766	K Zone	EDSA Brgy Pinyahan Quezon City	7364010	NCR - National Capital Region	"NCR, SECOND DISTRICT"	QUEZON CITY	14.577	121.051		
883	Madapdap	San Fernando Ave Madapdap Pampanga	942	REGION III (Central Luzon)	PAMPANGA	CITY OF SAN FERNANDO (Capital)	15.2188	120.611		
863	Tanauan 4	"A Mabini Avenue, Tanauan City Batangas"		REGION IV-A (CALABARZON)	BATANGAS	CITY OF TANAUAN	14.0837	121.146		
899	Sotto	Unit 117 Sotto Yuvienco Bldg cor Gen Luna Ermita		NCR - National Capital Region	"NCR, CITY OF MANILA, FIRST DISTRICT"	ERMITA	14.5821	120.984		
